순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
15692	국제전문학술지(SSCI)	JOHN BENJAMINS PUBLISHING CO	SPANISH IN CONTEXT	네덜란드	15710718	0.4	76.3
15724	국제전문학술지(SSCI)	JOHN BENJAMINS PUBLISHING CO	STUDIES IN LANGUAGE	네덜란드	03784177	0.4	76.3
4557	국제전문학술지(SCIE)	CANADIAN SCIENCE PUBLISHING	CANADIAN JOURNAL OF CHEMISTRY	캐나다	00084042	1	76.4
5569	국제전문학술지(SCIE)	PLEIADES PUBLISHING LTD	DOKLADY CHEMISTRY	미국	00125008	1	76.4
9524	국제전문학술지(SCIE)	SAGE PUBLICATIONS INC	MAIN GROUP CHEMISTRY	네덜란드	10241221	1	76.4
10670	국제전문학술지(SCIE)	AVOXA-MEDIENGRUPPE DEUTSCHER APOTHEKER GMBH	PHARMAZIE	독일	00317144	1	76.4
11685	국제전문학술지(SCIE)	BUREAU SCIENTIFIC PUBL	SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE	남아프리카공화국	03794350	1	76.4
13479	국제전문학술지(SSCI)	FEMINIST STUD INC	FEMINIST STUDIES	미국	00463663	0.4	76.4
3902	국제전문학술지(SCIE)	TAYLOR & FRANCIS INC	ARID LAND RESEARCH AND MANAGEMENT	미국	15324982	1.6	76.5
4579	국제전문학술지(SCIE)	CANADIAN SCIENCE PUBLISHING	CANADIAN JOURNAL OF SOIL SCIENCE	캐나다	00084271	1.6	76.5
5915	국제전문학술지(SCIE)	PLEIADES PUBLISHING LTD	EURASIAN SOIL SCIENCE	러시아	10642293	1.6	76.5
3932	국제전문학술지(SCIE)	JOURNAL HOUSE QINGDAO UNIV	ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION	호주	09647058	1.5	76.5
10343	국제전문학술지(SCIE)	KOREAN NUTRITION SOC	NUTRITION RESEARCH AND PRACTICE	대한민국	19761457	1.5	76.5
6970	국제전문학술지(SCIE)	WILEY	IET COMPUTER VISION	영국	17519632	1.3	76.5
6985	국제전문학술지(SCIE)	WILEY	IET SCIENCE MEASUREMENT & TECHNOLOGY	영국	17518822	1.3	76.5
6989	국제전문학술지(SCIE)	TAYLOR & FRANCIS LTD	IETE JOURNAL OF RESEARCH	영국	03772063	1.3	76.5
7407	국제전문학술지(SCIE)	CAMBRIDGE UNIV PRESS	INTERNATIONAL JOURNAL OF MICROWAVE AND WIRELESS TECHNOLOGIES	영국	17590787	1.3	76.5
8160	국제전문학술지(SCIE)	SPRINGER	JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS	미국	09238174	1.3	76.5
8897	국제전문학술지(SCIE)	SPRINGER HEIDELBERG	JOURNAL OF POWER ELECTRONICS	대한민국	15982092	1.3	76.5
12756	국제전문학술지(SSCI)	IMR PRESS	BEHAVIORAL PSYCHOLOGY-PSICOLOGIA CONDUCTUAL	스페인	11329483	0.9	76.5
14659	국제전문학술지(SSCI)	GUILFORD PUBLICATIONS INC	JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY	미국	07367236	0.9	76.5
10715	국제전문학술지(SCIE)	IOP PUBLISHING LTD	PHYSICAL BIOLOGY	영국	14783967	1.6	76.6
